BP Team Name,BP Account Name,P2P Endpoint,API Endpoint,,,
AtticLab,atticlabtlbp,159.69.63.222:7776,http://159.69.63.222:7777,p2p-peer-address = 159.69.63.222:7776,,
blindblocart,blindblocart,109.237.25.217:3876,http://109.237.25.217:3888,p2p-peer-address = 109.237.25.217:3876,,
CalEOS,caleosblocks,testnet.telos.caleos.io:9879,https://testnet.telos.caleos.io,p2p-peer-address = testnet.telos.caleos.io:9879,,
EOS Detroit,eosiodetroit,p2p.testnet.telos.eosdetroit.io:1337,https://testnet.telos.eosdetroit.io,p2p-peer-address = p2p.testnet.telos.eosdetroit.io:1337,,
EOS Nairobi,telosafrique,telosafrique.eosnairobi.io:9376,http://telosafrique.eosnairobi.io:9938,p2p-peer-address = telosafrique.eosnairobi.io:9376,,
eosBarcelona,eosbarcelona,telos.eosbcn.com:9876,http://telos.eosbcn.com:8180,p2p-peer-address = telos.eosbcn.com:9876,,
EOSindex,bpeosindexio,testnet.telos.eosindex.io:9876,https://api.testnet.telos.eosindex.io,p2p-peer-address = testnet.telos.eosindex.io:9876,,
Eosmetal,eosmetaliobp,164.132.203.74:29876,164.132.203.74:28888,p2p-peer-address = 164.132.203.74:29876,,
EosOU,eosouwallet1,telos.eosou.io:19876,http://api.eosou.io:18888,p2p-peer-address = telos.eosou.io:19876,,
infinitybloc,infinitybloc,173.255.220.117:3876,http://173.255.220.117:3888,p2p-peer-address = 173.255.220.117:3876,,
JijiPlan DAC,jijiplannode,http://207.148.6.75:9876,http://207.148.6.75:8888,p2p-peer-address = http://207.148.6.75:9876,,
Swedencornet ,swedencornet,testnet.telos.eossweden.eu:8022,https://testnet.telos.eossweden.eu,p2p-peer-address = testnet.telos.eossweden.eu:8022,,
Telos Central, teloscentral, 178.200.204.188:9876, http://178.200.204.188:8888, p2p-peer-address = 178.200.204.188:9876,,
Telos Canton,teloscantons,testnode1.teloscanton.io:5806,https://apitestnode1.teloscanton.io,p2p-peer-address = testnode1.teloscanton.io:5806,,
Telos China,telasiaChina,telos.telasiachina.com:9876,https://testnet.telasiachina.com:8889,p2p-peer-address = telos.telasiachina.com:9876,,
Telos GoingOS,telgoingosbp,testnet.goingos.org:9876,https://testnet.goingos.org:8889,p2p-peer-address = testnet.goingos.org:9876,,
Telos Green,telosgreenbp,p2p.testnet.telosgreen.com:9876,api.testnet.telosgreen.com:8888,p2p-peer-address = p2p.testnet.telosgreen.com:9876,,
Telos Intasia,telosintasia,telostestnet.ikuwara.com:9876,telostestnet.ikuwara.com:8888,p2p-peer-address = telostestnet.ikuwara.com:9876,,
Telos Madrid,telosmadrid1,95.216.18.207:9876,http://95.216.18.207:8888,p2p-peer-address = 95.216.18.207:9876,,
Telos Miami,telosmiamibp,testnet.eos.miami:13975,https://testnet.eos.miami,p2p-peer-address = testnet.eos.miami:13975,,
Telos New York,telosnewyork,p2p.testnet.nytelos.com:8012,http://api.testnet.nytelos.com,p2p-peer-address = p2p.testnet.nytelos.com:8012,,
Telos UK,telosuknodes,testnet-p2p.telosuk.io:9876,https://testnet-api.telosuk.io,p2p-peer-address = testnet-p2p.telosuk.io:9876,,
Telos Unlimited,telosunlimit,p2p.testnet.telosnulimited.io:9876,https://api.testnet.telosunlimited.io,p2p-peer-address = p2p.testnet.telosnulimited.io:9876,,
Telos Vancouver,tlsvancouver,testnet.telosvancouver.io:9876,http://testnet.telosvancouver.io:8888,p2p-peer-address = testnet.telosvancouver.io:9876,,
Telos Venezuela,tlsvenezuela,52.175.200.62:9876,http://52.175.200.62:8888,p2p-peer-address = p2p.telosvenezuela.com:9876,,
Telos Voyager,telosvoyager,test.p2p.telosvoyager.io:2876,http://test.api.telosvoyager.io:2888,p2p-peer-address = test.p2p.telosvoyager.io:2876,,
Telos-21Zephyr,21zephyrtlos,testnet.telos-21zephyr.com:9876,http://testnet.telos-21zephyr.com:8888,p2p-peer-address = testnet.telos-21zephyr.com:9876,,
TelosDAC,telosdacnode,149.28.231.187:9876,http://149.28.231.187:8888,p2p-peer-address = 149.28.231.187:9876,,
TelosGlobal,telosglobal1,node1.testnet.telosglobal.io:9876,node1.testnet.telosglobal.io:8888,p2p-peer-address = node1.testnet.telosglobal.io:9876,,
TelosGlobal,telosglobal1,node2.testnet.telosglobal.io:9876,node2.testnet.telosglobal.io:8888,p2p-peer-address = node2.testnet.telosglobal.io:9876,,
The Teloscope,theteloscope,testnet.theteloscope.io:19876,http://testnet.theteloscope.io:18888,p2p-peer-address = testnet.theteloscope.io:19876,,
GoodBlock.io,goodblocktls,hulk.tlos.goodblock.io,https://api-test.tlos.goodblock.io,p2p-peer-address = hulk.tlos.goodblock.io:9876,,
EOS South Africa,southafrica1,testnet.telos.africa,https://testnet.telos.africa:4443,p2p-peer-address = testnet.telos.africa:9876,,
